Date,GS1M,GS3M,GS6M,GS1,GS2,GS3,GS5,GS7,GS10,GS20,GS30,FII5,OTR,CGR
4/1/1953,.,.,.,2.36,.,2.51,2.62,.,2.83,3.08,.,,91,25
5/1/1953,.,.,.,2.48,.,2.72,2.87,.,3.05,3.18,.,,91,25
6/1/1953,.,.,.,2.45,.,2.74,2.94,.,3.11,3.21,.,,91,25
7/1/1953,.,.,.,2.38,.,2.62,2.75,.,2.93,3.12,.,,91,25
8/1/1953,.,.,.,2.28,.,2.58,2.8,.,2.95,3.1,.,,91,25
9/1/1953,.,.,.,2.2,.,2.56,2.71,.,2.87,3.07,.,,91,25
10/1/1953,.,.,.,1.79,.,2.23,2.43,.,2.66,2.95,.,,91,25
11/1/1953,.,.,.,1.67,.,2.2,2.42,.,2.68,2.95,.,,91,25
12/1/1953,.,.,.,1.66,.,2.07,2.32,.,2.59,2.89,.,,91,25
1/1/1954,.,.,.,1.41,.,1.89,2.17,.,2.48,2.8,.,,91,25
2/1/1954,.,.,.,1.14,.,1.63,2.04,.,2.47,2.72,.,,91,25
3/1/1954,.,.,.,1.13,.,1.59,1.93,.,2.37,2.61,.,,91,25
4/1/1954,.,.,.,0.96,.,1.54,1.87,.,2.29,2.6,.,,91,25
5/1/1954,.,.,.,0.85,.,1.56,1.92,.,2.37,2.66,.,,91,25
6/1/1954,.,.,.,0.82,.,1.53,1.92,.,2.38,2.64,.,,91,25
7/1/1954,.,.,.,0.84,.,1.47,1.85,.,2.3,2.57,.,,91,25
8/1/1954,.,.,.,0.88,.,1.49,1.9,.,2.36,2.58,.,,91,25
9/1/1954,.,.,.,1.03,.,1.6,1.96,.,2.38,2.6,.,,91,25
10/1/1954,.,.,.,1.17,.,1.72,2.02,.,2.43,2.61,.,,91,25
11/1/1954,.,.,.,1.14,.,1.75,2.09,.,2.48,2.65,.,,91,25
12/1/1954,.,.,.,1.21,.,1.81,2.16,.,2.51,2.67,.,,91,25
1/1/1955,.,.,.,1.39,.,1.99,2.32,.,2.61,2.75,.,,91,25
2/1/1955,.,.,.,1.57,.,2.12,2.38,.,2.65,2.83,.,,91,25
3/1/1955,.,.,.,1.59,.,2.26,2.48,.,2.68,2.84,.,,91,25
4/1/1955,.,.,.,1.75,.,2.37,2.55,.,2.75,2.85,.,,91,25
5/1/1955,.,.,.,1.9,.,2.37,2.56,.,2.76,2.87,.,,91,25
6/1/1955,.,.,.,1.91,.,2.39,2.59,.,2.78,2.86,.,,91,25
7/1/1955,.,.,.,2.02,.,2.51,2.72,.,2.9,2.94,.,,91,25
8/1/1955,.,.,.,2.37,.,2.72,2.86,.,2.97,3.01,.,,91,25
9/1/1955,.,.,.,2.36,.,2.69,2.85,.,2.97,3,.,,91,25
10/1/1955,.,.,.,2.39,.,2.62,2.76,.,2.88,2.93,.,,91,25
11/1/1955,.,.,.,2.48,.,2.73,2.81,.,2.89,2.93,.,,91,25
12/1/1955,.,.,.,2.73,.,2.88,2.93,.,2.96,2.98,.,,91,25
1/1/1956,.,.,.,2.58,.,2.78,2.84,.,2.9,2.94,.,,91,25
2/1/1956,.,.,.,2.49,.,2.67,2.74,.,2.84,2.91,.,,91,25
3/1/1956,.,.,.,2.61,.,2.89,2.93,.,2.96,2.99,.,,91,25
4/1/1956,.,.,.,2.92,.,3.19,3.2,.,3.18,3.14,.,,91,25
5/1/1956,.,.,.,2.94,.,3.08,3.08,.,3.07,3.06,.,,91,25
6/1/1956,.,.,.,2.74,.,2.95,2.97,.,3,3,.,,91,25
7/1/1956,.,.,.,2.76,.,3.06,3.12,.,3.11,3.08,.,,91,25
8/1/1956,.,.,.,3.1,.,3.39,3.41,.,3.33,3.22,.,,91,25
9/1/1956,.,.,.,3.35,.,3.5,3.47,.,3.38,3.28,.,,91,25
10/1/1956,.,.,.,3.28,.,3.4,3.4,.,3.34,3.26,.,,91,25
11/1/1956,.,.,.,3.44,.,3.57,3.56,.,3.49,3.37,.,,91,25
12/1/1956,.,.,.,3.68,.,3.76,3.7,.,3.59,3.45,.,,91,25
1/1/1957,.,.,.,3.37,.,3.46,3.47,.,3.46,3.41,.,,91,25
2/1/1957,.,.,.,3.38,.,3.42,3.39,.,3.34,3.3,.,,91,25
3/1/1957,.,.,.,3.42,.,3.47,3.46,.,3.41,3.32,.,,91,25
4/1/1957,.,.,.,3.49,.,3.53,3.53,.,3.48,3.4,.,,91,25
5/1/1957,.,.,.,3.48,.,3.61,3.64,.,3.6,3.49,.,,91,25
6/1/1957,.,.,.,3.65,.,3.8,3.83,.,3.8,3.65,.,,91,25
